Seed_Type,Seed_Weight_mg,Moisture_%,Protein_%,Germ_Temp_C,Humidity_%,Germination_Rate_%,Plant_Height_cm,Yield_Days,Yield_Weight_g_per_plant,Label_Best_Treatment
Cowpea,64.20321499,13.71610615,34.73560945,25.00931277,66.0233264,67.51067636,27.82941026,74.19641197,12.82218691,0.0
Cowpea,48.17055632,9.091354416,31.35522995,31.75838256,56.97060985,81.87109856,27.82448355,54.330132,21.23318047,1.0
Cowpea,83.34610584,10.73901477,32.05352844,26.0236771,68.07894472,69.44623698,27.03024773,72.1298742,15.54223504,0.0
Cowpea,52.23982646,10.14334606,34.19890415,27.40542105,75.95299449,72.60806872,9.874452119,52.04503815,20.93801825,0.0
Cowpea,52.29743355,13.18493243,19.11440626,31.12672983,56.29343223,79.49738675,19.5380219,63.17645211,19.28480969,1.0
Cowpea,37.91492828,11.45123052,20.04737222,28.500817,54.14028705,67.31085324,29.09460779,77.22400199,14.56305444,0.0
Cowpea,42.81000582,10.75123761,31.98201021,30.40734824,65.26370005,77.5552639,17.10338666,71.04674641,22.6484241,0.0
Cowpea,72.5276269,9.254968993,29.21871682,28.70736379,72.4556111,83.78278706,22.94838034,66.25809254,21.20427605,1.0
Cowpea,56.00331021,12.93429293,18.156904,29.87653732,60.92958128,82.39967687,20.21042107,54.19810637,17.35041291,0.0
Cowpea,87.37755295,10.30962648,27.37831937,29.97376698,70.25836552,85.37021433,37.48542866,52.07032419,18.08641277,1.0
Cowpea,96.84385249,13.78286929,34.58562387,26.38287676,65.72947563,87.99194519,37.66687491,61.73869123,24.15151843,1.0
Cowpea,39.07715104,12.94264237,30.93042857,27.76296352,56.00563752,90.5790537,20.36300301,56.249719,18.59560628,1.0
Cowpea,24.98180846,11.8623447,25.66886675,26.25399359,68.90126974,80.38758413,13.77984964,53.72739821,14.49092056,1.0
Cowpea,25.98037501,13.35362605,19.8805895,29.38041416,53.02548856,74.15916393,31.03467051,56.59879299,18.85819294,0.0
Cowpea,77.4037715,12.98942021,21.45448713,29.17458491,70.09890215,67.33127464,27.29651264,58.97176354,12.30762638,0.0
Cowpea,24.97792317,13.57088863,26.79173031,31.6176746,66.40793253,67.81932414,18.91702752,69.65710651,14.88280212,0.0
Cowpea,39.74345549,9.880709654,30.59994135,27.46451257,53.4210234,68.73100879,23.79977205,53.48310137,16.91287207,0.0
